logged_at,source_file,document_id,title,url,field,bad_text_snippet,reason,action_taken
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"网络空间部队首次亮相九三阅兵, 网络安全从业者沸腾了",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,阅兵专号|军事航天部队方队: 追星揽箭 逐梦太空,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,2025年63650部队直接选拔招录军官宣传简章,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,中国人民解放军军事航天部队航天工程大学,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,中国人民解放军军事航天部队航天工程大学士官学校来校调研,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,阅兵专号|军事航天部队方队: 追星揽箭 逐梦太空,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"阅兵现场|电子对抗方队:""电磁利剑""先手制敌",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"国平视野, """,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"官媒曝光远程预警雷达 绝对的""国之重器",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"印度人的天要塌了,中国不按常理出牌:西南边陲出现一个巨大阴影",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"印度人的天要塌了,中國不按常理出牌:西南邊陲出現一個巨大陰影",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"国平视野, """,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"官媒曝光远程预警雷达 绝对的""国之重器",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"国平视野, """,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,604e12532f21f5ce,New Frontiers in China's Military Organisation,https://takshashila.org.in/content/publications/20251028-china-new-military-forces.html,text,"官媒曝光远程预警雷达, 绝对能称""国之重器"", 实力不再藏着掖着",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,3e5dae0287a77d28,A National Security Doctrine For India,https://takshashila.org.in/content/publications/20190603-a-national-security-doctrine-for-india.html,text,बलं शक्ति: | सुखं सिद्धि:|,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,20232028.,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,PLA,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,CCG,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,20102025,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,"LDP,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,2How,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,"No. 18 Washington, DCNational Defense University Press, 2015,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,"18, 2018,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,"2022,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,cb9e70361c78e360,Journey of Japan's Defence Transformation [PDF],https://takshashila.org.in/content/publications/20260608-journey-of-japans-defence.html,text,"2022,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,72ae0ecc001cead2,Three Things India Should Do in the Age of Accelerated Vulnerability Discovery [PDF],https://takshashila.org.in/content/publications/India-Mythos-Policy-Brief-22052026.html,text,"CERTIn,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,72ae0ecc001cead2,Three Things India Should Do in the Age of Accelerated Vulnerability Discovery [PDF],https://takshashila.org.in/content/publications/India-Mythos-Policy-Brief-22052026.html,text,A recent CERTIn advisory CIAD20260020underscores the,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,"CCS,",ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,IRGCthreatened Indian lives.,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,BJP,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,1012th,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,Union,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,910,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,186b64214c3e8572,India's Response to the West Asian War [PDF],https://takshashila.org.in/content/publications/Indias-Response-War-150526.html,text,Minister,ocr_garbage_line,removed_line
2026-06-17T09:41:52Z,documents.jsonl,480dc59c73cd84f0,Should the US Sell Advanced GPUs to China? An Indian Perspective [PDF],https://takshashila.org.in/content/publications/20260429-Nvidia-and-China-India.html,text,"DeepSeek,",ocr_garbage_line,removed_line
